name	status	update	version
action-scheduler-high-volume-master	active	none	1.1.0
add-wpgraphql-seo	active	none	4.22.5
advanced-custom-fields	active	available	6.3.6
advanced-custom-fields-pro	active	available	6.1.7
afterpay-gateway-for-woocommerce	inactive	none	3.8.6
akismet	active	available	5.3
wp-asset-clean-up	inactive	available	1.3.9.3
checkout-for-woocommerce	active	none	9.1.1
cmb2	active	available	2.10.1
code-profiler-pro	inactive	none	1.6.5
webappick-product-feed-for-woocommerce-pro	active	available	7.3.17
debug-bar	active	available	1.1.4
disable-cart-fragments	active	none	2.3
disable-emails	inactive	none	1.8.2
divit-extension-evaluator	inactive	none	2.2
duplicate-page	active	available	4.5.3
elasticpress	inactive	available	5.0.1
debug-bar-elasticpress	inactive	none	3.1.0
elasticpress-stream	inactive	none	1.0.0
elementor	active	available	3.17.2
elementor-pro	active	available	3.17.1
email-customizer-pro	active	available	4.1.0
enable-cors	inactive	none	1.2.3
extra-user-details	active	available	0.5.1
foundry-add-orders-product-button	active	none	
foundry-banned-customers	active	none	1.0.0
foundry-change-email-subject	active	none	1.0.0
foundry-penny-on-hold-orders	active	none	1.0.0
foundry-sliders	active	none	1.0.0
foundry-snippets	active	none	1.0
free-gifts-for-woocommerce	inactive	available	11.3.0
gravityforms	active	available	2.7.7.1
gravityformsuserregistration	active	available	5.0
growdev	active	none	0.0.1
growdevelopment-account	active	none	1.0.0
growdevelopment-monitor-scheduled-posts	active	none	1.0.2
growdevelopment-restricted-area	active	none	1.0.0
growdevelopment-track-web-vitals	active	none	1.0.0
headless-cms-master	active	none	2.0.4
wp-graphql-headless-login	active	none	0.3.0
jet-menu	active	none	2.4.2
Basic-Auth-master	inactive	none	0.1
klaviyo	active	available	3.3.5
klaviyo-toolkit	active	none	1.8.1
metorik-helper	active	none	2.0.6
wp-newrelic	active	available	1.3.2
nitropack	active	available	1.14.0
oracle	inactive	none	0.1
woocommerce-google-adwords-conversion-tracking-tag	active	available	1.34.0
pixelyoursite-pro	active	none	9.11.0.2
pixelyoursite-super-pack	active	none	5.0.0
plugin-organizer	active	none	10.1.10
woocommerce-point-of-sale	inactive	none	6.4.0
popup-maker	inactive	available	1.18.2
woo-preview-emails	inactive	none	2.2.13
wcpb-product-badges-custom	active	available	2.4.0
query-monitor	active	available	3.14.1
redirection	active	available	5.3.10
replace-internal-link-urls-main	active	none	1.3
sg-collections	active	none	1.1
sagegoddess-discount-display	inactive	none	1.3
sage-easy-facebook-management	active	none	1.0.0
sagegoddess-membership-rewards	active	none	2.0
sagegoddess-odoo	active	none	1.1.1
sage-search-user-social-handles	active	none	1.0.1
scratch-win-giveaways-for-website-facebook	active	available	2.6.5
search-exclude	active	available	2.0.9
sendgrid-email-delivery-simplified	active	none	1.11.8
sg-headless-wp-utilities	active	none	1.0
sagegoddess-blacklist-users	active	none	1.0
sg-order-importer	inactive	none	1.0.2
sg-niversal-smart-banners-main	active	none	1.0.0
sg-waitlist-api	active	none	1.0
social-networks-links-by-performance-foundry	active	none	0.3.0
stream	active	available	3.10.0
tarokina-pro	inactive	none	1.2.7
taxjar-simplified-taxes-for-woocommerce	active	available	4.2.1
the-events-calendar	inactive	available	6.2.9
tiktok-for-business	active	available	1.2.2
transients-manager	active	available	2.0.3
user-role-editor	active	available	4.64
user-switching	active	available	1.7.0
wha-wordsearch	inactive	none	2.0.1
woobox	inactive	none	1.6
woocommerce	active	available	8.3.0
woocommerce-shipstation-integration	active	available	4.3.9
woocommerce-gateway-affirm	inactive	available	2.1.1
woocommerce-cart-add-ons	active	none	2.0.0
woocommerce-free-gift-coupons	inactive	available	3.4.5
woocommerce-gift-cards	active	available	1.16.3
woocommerce-memberships	active	none	1.26.9
woocommerce-paypal-payments	active	available	2.2.2
woocommerce-points-and-rewards	active	none	1.8.9
woocommerce-product-addons	active	available	6.4.5
woocommerce-product-recommendations	inactive	available	3.0.3
woocommerce-product-reviews-pro	active	available	1.19.0
woocommerce-social-login	active	available	2.13.0
woocommerce-gateway-stripe	active	available	8.7.0
woocommerce-subscriptions-preserve-billing-schedule	active	none	1.0.0
woocommerce-subscriptions-gifting	inactive	available	2.7.0
wcs-remove-deprecated-handlers	active	none	1.0
wc-tree-table-rate-shipping	active	available	1.33.2
woocommerce-waitlist	active	available	2.4.1
woographql-pro	active	none	1.4.1
woo-quick-view	inactive	none	1.1.1
woocommerce-subscriptions	active	available	5.8.0
wp-lister-amazon	active	none	2.6.3
wp-crontrol	active	available	1.16.1
wp-graphql	active	available	1.26.0
wpgraphql-blocks	inactive	available	2.0.4
wp-graphql-cors-master	active	none	2.1
wpgraphql-acf	active	available	2.2.0
wpgraphql-ide	inactive	none	1.1.9
wpgraphql-smart-cache	inactive	none	1.3.3
wp-graphql-woocommerce	active	none	0.19.0
mabel-wheel-of-fortune	inactive	none	4.0.5
wp-api-menus	active	none	1.3.2
yith-woocommerce-wishlist-premium	active	none	3.24.1
yith-woocommerce-wishlist-rest-api-master	active	none	0.0.1
wordpress-seo	active	available	22.3
wpseo-woocommerce	active	none	16.0
wordpress-seo-premium	active	none	21.7
quadpay-gateway-for-woocommerce	active	none	1.9.0
admin-ajax-exclusions	must-use	none	
custom-exclude-plugin-purge-requests	must-use	none	0.2
disconnect_wc_features	must-use	none	1.0
divit-extn-eval-checker	must-use	none	
ep-filter-meta	must-use	none	
ep-logging	must-use	none	
redis-cache-pro	must-use	none	1.21.2
pagely-opensearch-replicas	must-use	none	1.0.0
opensearch-version-override	must-use	none	1.0.0
custom-global-purge-pages	must-use	none	1.0
pagely-empty-meta-form-keys	must-use	none	1.0.0
pagely-management-v2	must-use	none	2.0.66
pagely-pressthumb	must-use	none	1.0.1
PluginOrganizerMU.class	must-use	none	10.1.10
remove-nag	must-use	none	
sagegoddess	must-use	none	0.0.1
env-settings	must-use	none	0.0.1
tarokina	must-use	none	
wp-migrate-db-pro-compatibility	must-use	none	1.1
default-wp-die-header-change	must-use	none	0.0.1
wp-die-handler	must-use	none	0.0.1
advanced-cache.php	dropin	none	
